Candidate	Party	Incumbent	District
R. David Harden	DEM	No	1
Heather R. Mizeur	DEM	No	1
George Croom	DEM	No	2
Marques Dent	DEM	No	2
Liri Fusha	DEM	No	2
C.A. Dutch Ruppersberger	DEM	Yes	2
Ben R. Beardsley	DEM	No	3
Jake Pretot	DEM	No	3
John Sarbanes	DEM	Yes	3
Tammy Allison	DEM	No	4
Angela M. Angel	DEM	No	4
"James Levi Curtis, Jr."	DEM	No	4
Donna F. Edwards	DEM	No	4
Matthew F. Fogg	DEM	No	4
Gregory Holmes	DEM	No	4
Glenn F. Ivey	DEM	No	4
Robert K. McGhee	DEM	No	4
Kim A. Shelton	DEM	No	4
Steny Hoyer	DEM	Yes	5
